system_cod,location_c,location_n,BEDS,Managed_by,location_t,Location_1,Grades_tex,Grades_fin,open_date,Status_des,Primary_bu,primary_ad,X_COORDINA,Y_COORDINA,LONGITUDE,LATITUDE,Community_,Council-di,Census_tra,Borough_bl,NTA,NTA_Name,Geographic,Administra,Administ_1,communit_1,LOC_CODE
28Q144,Q144,P.S. 144 Col Jeromus Remsen,342800010144,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",1931/07/01 00:00:00.000,Open,Q144,93-02 69 AVENUE,"1025168","199765",-73.852397999999994,40.714889999999997,"406","29","72900","4032120001",QN17,Forest Hills,"28","28",COMMUNITY SCHOOL DISTRICT 28,"SARDUY, MABEL",Q144
30Q145,Q145,I.S. 145 Joseph Pulitzer,343000010145,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1954/07/01 00:00:00.000,Open,Q145,33-34 80 STREET,"1015412","214141",-73.887523000000002,40.754389000000003,"403","25","28500","4012520001",QN28,Jackson Heights,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q145
27Q146,Q146,P.S. 146 Howard Beach,342700010146,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1936/07/01 00:00:00.000,Open,Q146,98-01 159 AVENUE,"1030057","179969",-73.834896000000001,40.660530999999999,"410","32","88400","4141680016",QN57,Lindenwood-Howard Beach,"27","27",COMMUNITY SCHOOL DISTRICT 27,"AMBERT, JENNIFER",Q146
29Q147,Q147,P.S./M.S. 147 Ronald McNair,342900010147,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1930/07/01 00:00:00.000,Open,Q147,218-01 116 AVENUE,"1056306","193694",-73.740139999999997,40.698028000000001,"413","27","59800","4113000001",QN33,Cambria Heights,"29","29",COMMUNITY SCHOOL DISTRICT 29,"MITCHELL, BEVERLY",Q147
30Q148,Q148,P.S. 148 Queens,343000010148,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1929/07/01 00:00:00.000,Open,Q148,89-02 32 AVENUE,"1017872","215325",-73.878637999999995,40.757629000000001,"403","25","33900","4014190001",QN28,Jackson Heights,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q148
30Q149,Q149,P.S. 149 Christa McAuliffe,343000010149,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1936/07/01 00:00:00.000,Open,Q149,93-11 34 AVENUE,"1019018","214645",-73.874504999999999,40.755758999999998,"403","25","27300","4014410015",QN28,Jackson Heights,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q149
30Q150,Q150,P.S. 150 Queens,343000010150,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05,06",1932/07/01 00:00:00.000,Open,Q150,40-01 43 AVENUE,"1005482","211033",-73.923374999999993,40.745887000000003,"402","26","18101","4001850001",QN31,Hunters Point-Sunnyside-West Maspeth,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q150
30Q151,Q151,P.S. 151 Mary D. Carter,343000010151,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1931/07/01 00:00:00.000,Open,Q151,50-05 31 AVENUE,"1009697","215460",-73.908146000000002,40.758026999999998,"401","22","16300","4007520001",QN70,Astoria,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q151
30Q152,Q152,P.S. 152 Gwendoline N. Alleyne School,343000010152,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",1938/07/01 00:00:00.000,Open,Q152,33-52 62 STREET,"1011794","213665",-73.900583999999995,40.753093999999997,"402","26","29300","4011840014",QN63,Woodside,"30","30",COMMUNITY SCHOOL DISTRICT 30,"COMPOSTO, PHILIP",Q152
24Q153,Q153,P.S. 153 Maspeth Elem,342400010153,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05,06",1931/07/01 00:00:00.000,Open,Q153,60-02 60 LANE,"1010734","200257",-73.904463000000007,40.716296000000000,"405","30","59900","4027320018",QN30,Maspeth,"24","24",COMMUNITY SCHOOL DISTRICT 24,"CHAN, MADELENE",Q153
