"BUILDING 
CODE",SCHOOL NAME,TYPE,Borough,NUMBER,boro_code,ADDRESS,BOROUGH,STATE,ZIP
M146,Ann M. Short,PS,M,146,M146,421 EAST 106 STREET,MANHATTAN,NY,10029
K142,,PS,K,146,K146,610 HENRY STREET,BROOKLYN,NY,11231
K147,Isaac Remsen,PS,K,147,K147,325 BUSHWICK AVENUE,BROOKLYN,NY,11206
K149,Danny Kaye,PS,K,149,K149,700 SUTTER AVENUE,BROOKLYN,NY,11207
Q149,Christa Mcauli!e,PS,Q,149,Q149,93-11 34 AVENUE,QUEENS,NY,11372
M840,,PS,M,150,M150,334 GREENWICH STREET,MANHATTAN,NY,10013
K151,Lyndon B. Johnson,PS,K,151,K151,763 KNICKERBOCKER AVENUE,BROOKLYN,NY,11207
Q151,Mary D. Carter,PS,Q,151,Q151,50-05 31 AVENUE,QUEENS,NY,11377
K152,"School of Science & 
Technology",PS,K,152,K152,725 EAST 23 STREET,BROOKLYN,NY,11210
M153,Adam Clayton Powell,PS,M,153,M153,1750 AMSTERDAM AVENUE,MANHATTAN,NY,10031
K153,Homecrest,PS,K,153,K153,1970 HOMECREST AVENUE,BROOKLYN,NY,11229
K153,Homecrest,PS,K,153,K153,1970 HOMECREST AVENUE,BROOKLYN,NY,11229
Q153,Maspeth Elem,PS,Q,153,Q153,60-02 60 LANE,QUEENS,NY,11378
M154,Harriet Tubman,CS,M,154,M154,250 WEST 127 STREET,MANHATTAN,NY,10027
X154,Jonathan D. Hyatt,PS,X,154,X154,333 EAST 135 STREET,BRONX,NY,10454
K154,"The Windsor Terrace 
School",PS,K,154,K154,1625 11 AVENUE,BROOKLYN,NY,11215
Q154,,PS,Q,154,Q154,75-02 162 STREET,QUEENS,NY,11366
K157,The Benjamin Franklin Health & Science Academy,PS/IS,K,157,K157,850 KENT AVENUE,BROOKLYN,NY,11205
Q157,Stephen A. Halsey,JHS,Q,157,Q157,63-55 102ND STREET,QUEENS,NY,11374
K158,Warwick,PS,K,158,K158,400 ASHFORD STREET,BROOKLYN,NY,11207
Q160,Walter Francis Bishop,PS,Q,160,Q160,109-59 INWOOD STREET,QUEENS,NY,11435
M161,Pedro Albizu Campos,PS/MS,M,161,M161,499 WEST 133 STREET,MANHATTAN,NY,10027
Q161,Arthur Ashe School,PS,Q,161,Q161,101-33 124 STREET,QUEENS,NY,11419
K162,The Willoughby,IS,K,162,K162,1390 WILLOUGHBY AVENUE,BROOKLYN,NY,11237
M163,Alfred E. Smith,PS,M,163,M163,163 WEST 97 STREET,MANHATTAN,NY,10025
X163,Arthur A. Schomburg,PS,X,163,X163,2075 WEBSTER AVENUE,BRONX,NY,10457
